Headline;Summary;Organization;Category;File format;Views;Tags;URL
Skaņu ierakstu digitālā kolekcija;Latvijas Nacionālās bibliotēkas, Latvijas Nacionālā arhīva, Latvijas Universitātes Filozofijas un Socioloģijas institūta un Rakstniecības un Mūzikas muzeja digitalizēto skaņu ierakstu metadati ar norādēm uz datnēm.;Latvijas Nacionālā bibliotēka;Kultūra, ;CSV, ;214 skatījumi;Skaņu ieraksti, ;https://data.gov.lv/dati/lv/dataset/skanu-ierakstu-digitala-kolekcija
Karšu digitālā kolekcija;Latvijas Nacionālās bibliotēkas digitalizēto karšu metadati ar saitēm uz karšu datnēm.;Latvijas Nacionālā bibliotēka;Kultūra, ;CSV, ;290 skatījumi;Kartes, ;https://data.gov.lv/dati/lv/dataset/karsu-digitala-kolekcija
Augstumlīkņu ģeotelpiskie dati;"AS ""Latvijas valsts meži"" ikvienam interesentam piedāvā brīvpieejas augstumlīkņu vektordatu slāni *.shp formātā. Augstumlīknes klāj gandrīz pusi Latvijas teritorijas (vairāk kā 32 900 km2), tās pilnībā sedz Kurzemi, lielāko daļu Zemgales, kā arī nelielu daļu Vidzemes un Latgales. Slānis satur informāciju par augstumlīknēm ar 2 metru soli. Dati sagatavoti automātiski, izmantojot zemes reljefa modeli ar 15 metru izšķirtspēju, kas veidots no LIDAR zemes punktu mākoņa (LĢIA 2013. - 2016. gada aerolāzerksenēšanas dati). Dati pieejami LAS - 2000.5 normālā augstuma sistēmā. Automātiski ģenerēti dati izteikti līdzenās zemes reljefa vietās veido cilpas, savienojot iespējami daudz vienādas vērtības augstumpunktus. Šādas cilpas augstumlīkņu datos vērojamas uz ūdeņiem, purvos un līdzenumos.
Līdz ko būs pieejami LĢIA aerolāzerksenēšanas dati par jaunām teritorijām, dati tiks papildināti. 
Datu sagatavošanā izmantots: Digitālā zemes virsmas modeļa pamatdati © Latvijas Ģeotelpiskās informācijas aģentūra, 2016";AS “Latvijas valsts meži”;Reģioni un pašvaldības, ;SHP, DOCX, ;946 skatījumi;augstumlīknes, ;https://data.gov.lv/dati/lv/dataset/augstumliknu-geotelpiskie-dati
"AS ""Latvijas valsts meži"" teritoriālā dalījuma dati";"AS ""Latvijas valsts meži"" (LVM) uzņēmuma teritoriālā dalījuma vienību datu kopa ar datiem par LVM reģioniem un meža iecirkņiem.
Reģionu datu slānis satur informāciju par uzņēmuma astoņām primārā strukturālā dalījuma vienībām, kuru teritorijās tiek realizēta ilgtspējīga valsts mežu apsaimniekošana, pārvaldes funkcijas un piedāvāti saražotie produkti un pakalpojumi.
Meža iecirkņi ir viena no uzņēmumā izmantotajām sekundārajām teritoriālā dalījuma vienībām.";AS “Latvijas valsts meži”;Vide, Zemkopība, pārtika un mežsaimniecība, ;SHP, DOCX, ;721 skatījumi;LVM, LVM reģioni, meža iecirkņi, mežsaimniecība, ;https://data.gov.lv/dati/lv/dataset/as-latvijas-valsts-mezi-pamatdati
"AS ""Latvijas valsts meži"" mežkopības ģeotelpiskie dati";"Datu kopa satur AS ""Latvijas valsts meži"" (LVM) ģeotelpisko datu slāņus ar mežkopībai un meža ugunsapsardzībai nozīmīgiem datiem, tādiem kā - meža stigām, mineralizētajām joslām, ūdens ņemšanas vietām un fiksētajiem meža ugunsgrēkiem laika posmā kopš 2007. gada marta.
Briežveidīgo dzimtas dzīvnieku bojājumu riska teritorijas ir izveidotas ar mērķi, lai paredzētu iespējamos briežu dzimtas dzīvnieku bojājuma riskus un plānotu meža aizsardzības pasākumus atjaunotajās meža platībās.";AS “Latvijas valsts meži”;Vide, Zemkopība, pārtika un mežsaimniecība, ;SHP, DOCX, ;847 skatījumi;LVM, briežveidīgo bojājumi, meža ugunsgrēki, mežsaimniecība, mineralizētās joslas, stigas, ;https://data.gov.lv/dati/lv/dataset/as-latvijas-valsts-mezi-mezkopiba-un-ugunsapsardziba
eParaksts sistēmas nodrošinātās OAuth autentifikācijas;eParaksts sistēmas diennaktī nodrošināto OAuth autentifikāciju skaits kopš 2019. g. 1. janvāra. Skaits parādīts atsevišķi par autentifikācijas līdzekļiem eParaksts Mobile un viedkartēm (eID karte, eParaksts karte, eParaksts karte+).;VAS Latvijas Valsts radio un televīzijas centrs;Ekonomika un uzņēmējdarbība, ;CSV, ;104 skatījumi;EIDAS, OAuth, eParaksts, eParaksts Mobile, viedkarte, ;https://data.gov.lv/dati/lv/dataset/eidas-auth
"AS ""Latvijas valsts meži"" rekreācijas un tūrisma vietu ģeotelpiskie dati";"AS ""Latvijas valsts meži"" (LVM) uztur rekreācijas iespējas mežos, veidojot tūrisma un apskates objektus, gan arī bezmaksas atpūtas vietas un popularizējot aktīvu dzīvesveidu. Rekreācijas ģeotelpiskie datu kopa satur sabiedrībai pieejamus apskates objektus un atpūtas vietas mežā, kā arī mērķtiecīgi attīstītas meža teritorijas - ekomežus rekreācijai.";AS “Latvijas valsts meži”;Iedzīvotāji un sabiedrība, Reģioni un pašvaldības, Vide, Zemkopība, pārtika un mežsaimniecība, ;SHP, DOCX, ;1217 skatījumi;LVM, atpūtas vietas, ekomeži, mežs, mežsaimniecība, rekreācija, ;https://data.gov.lv/dati/lv/dataset/as-latvijas-valsts-mezi-rekreacijas-geotelpiskie-dati
AS “Latvijas valsts meži” meža infrastruktūras ģeotelpiskie dati;"AS “Latvijas valsts meži” (LVM) meža ceļu, lielo caurteku un tiltu, plānoto meža ceļu, apgriešanās laukumu, caurteku, autoceļu aprīkojuma, transporta izmainīšanās vietu, nobrauktuvju, grāvju, meliorācijas sistēmu un atjaunojamo meliorācijas objektu slāņi.
Meža ceļš ir atbilstoši tehniskajiem parametriem uzbūvēts komersanta ceļš ar segu vai ceļš bez segas, kas nodrošina meža apsaimniekošanu un ir ekspluatējams koksnes izvešanai. Datu slānī ir vairāk kā 4000 ceļi, ar kopējo garumu vairāk nekā 12 000 km. Bet attīstāmo meža ceļu ģeotelpisko datu slānis satur informāciju par tādiem meža autoceļiem, kuriem plānota atjaunošana, pārbūve vai būvniecība laika posmā no 2018. gada līdz 2022. gadam. Tajā ietilpst vairāk kā 900 līnijveida objekti.
Tiltu un lielo caurteku ģeotelpisko datu slānis satur informāciju par LVM atbildībā esošajām inženierbūvēm. Tajā ietilpst vairāk kā 200 punktveida objekti - tilti un caurtekas.
Apgriešanās laukums ir vieta, kas nodrošina transportlīdzekļa ar puspiekabi apgriešanos braukšanai pretējā kustības virzienā. Apgriešanās lakumus iedala pēc tipa – apļveida apgriešanās laukums un T-veida apgriešanās laukums.
Caurteka ir konstrukcija, kas nodrošina ūdensnoteku vai ūdensteču caurplūdi. Caurtekas var būt iebūvētas zem meža autoceļa un nobrauktuvēs vai uz grāvja atbērtnes. Atribūtu tabula satur informāciju par caurtekas garumu un diametru. 
Meža autoceļu aprīkojumā ietilpst ceļa zīmes, signālbarjeras, atvairbarjeras, signālstabiņi un atveramie koka vārti. Autoceļu aprīkojums nodrošina transportlīdzekļu kustības drošības uzlabošanu.
Izmainīšanās vieta ir ceļa brauktuves paplašinājums, kas nodrošina divu pretim braucošu transportlīdzekļu izmainīšanos. 
Nobrauktuve ir meža autoceļa brauktuves elements, kas nodrošina transportlīdzekļa nobraukšanu no pamatbrauktuves. Nobrauktuves izbūvētas kvartālstigu krustojumos un vietās, kur meža autoceļš krustojas ar dabiskām brauktuvēm mežā. 
Meža meliorācijas sistēma ir specializētu būvju un ierīču kopums ūdens režīma regulēšanai meža zemēs.
AS „Latvijas valsts meži” ģeotelpisko datu slāņi satur informāciju par uzņēmuma valdījumā esošajiem infrastruktūras objektiem.";AS “Latvijas valsts meži”;Reģioni un pašvaldības, Vide, Zemkopība, pārtika un mežsaimniecība, ;SHP, DOCX, ;1642 skatījumi;LVM, lielās caurtekas, meža ceļi, mežsaimniecība, tilti, ;https://data.gov.lv/dati/lv/dataset/as-latvijas-valsts-mezi-mezsaimniecibas-infrastruktura
eParaksts sistēmas atbildētie OCSP pieprasījumi;"OCSP ir viens no elektronisko sertifikātu derīguma pārbaudes protokoliem - tiešsaistes sertifikātu pārbaudes protokols (Online Certificate Status Protocol). 
Tas nodrošina tiešsaistes sertifikātu statusa pārbaudes procesu izsniegtajiem sertifikātiem, t.sk. - eID karšu turētāju autentifikācijas sertifikātu tiešsaistes statusa pārbaudi atbilstoši eIDAS, izsniedzot parakstītu apliecinājumu par sertifikāta derīgumu.
Pārbaude nodrošina aktuālu sertifikāta statusu. Ja statuss ir neatbilstošs, piem., atcelts pirms beigu laika, tad parakstīšanu vai citu darbību ar sertifikātu nav iespējams veikt. 
Datu bāzē pieejama informācija par atbildēto OCSP pieprasījumu skaitu diennaktī kopš 2019. g. 1. janvāra. Dati tiek atjaunoti katru dienu.";VAS Latvijas Valsts radio un televīzijas centrs;Ekonomika un uzņēmējdarbība, Zinātne un tehnoloģijas, ;CSV, ;301 skatījumi;OCSP, eParaksts, sertifikāts, statuss, ;https://data.gov.lv/dati/lv/dataset/eparaksts-ocsp
eParaksts sistēmas izsniegtie eID karšu sertifikāti;"eID karšu ražošanu un izsniegšanu nodrošina Pilsonības un migrācijas lietu pārvalde. Ar speciāla servisa palīdzību PMLP saņem no Latvijas Valsts radio un televīzijas centra  jaunus sertifikātus, ko eID kartes ražošanas procesā ieraksta jaunā eID kartē. 
Publicētajā datu bāzē pieejama informācija par diennaktī izsniegto eParaksts sertifikātu skaitu kopš 2019. gada 1. janvāra. Dati tiek atjaunoti katru dienu.";VAS Latvijas Valsts radio un televīzijas centrs;Ekonomika un uzņēmējdarbība, Zinātne un tehnoloģijas, ;CSV, ;449 skatījumi;eID, eParaksts, viedkarte, ;https://data.gov.lv/dati/lv/dataset/eparaksts-eid-sertifikati
Slimības pabalsti;Pieejama informācija par Valsts sociālās apdrošināšanas aģentūras izmaksātajiem slimības pabalstiem;Valsts sociālās apdrošināšanas aģentūra;Iedzīvotāji un sabiedrība, ;url, ;163 skatījumi;VSAA, atbalsts naudā, slimība, slimības pabalsts, ;https://data.gov.lv/dati/lv/dataset/slimibas-pabalsti
Atkritumu šķirošanas punkti;Atkritumu šķirošanas punktu karte. Pamatdati no vietnes http://skiroviegli.lv;Vides aizsardzības un reģionālās attīstības ministrija;Reģioni un pašvaldības, Vide, ;CSV, ;1218 skatījumi;atkritumi, šķiro, šķiroviegli, ;https://data.gov.lv/dati/lv/dataset/skiroviegli
Ārvalstnieku darījumu skaits ar nekustamiem īpašumiem Latvijā 2016.gada pirmajā pusgadā;(https://geolatvija.lv/geo/p/237);ĢEOLatvija.lv;Cits;WMS, ;80 skatījumi;"īpašums;, īpašumtiesības, ";https://data.gov.lv/dati/lv/dataset/rvalstnieku-darjumu-skaits-ar-nekustamiem-paumiem-latvij-2016-gada-pirmaj-pusgad75
Jūras telpiskais plānojums 2019 (JTP): Normatīvajā regulējumā noteiktie jūras izmantošanas nosacījumi (MSP02);(https://geolatvija.lv/geo/p/291);ĢEOLatvija.lv;Cits;WMS, ;46 skatījumi;jūra, ;https://data.gov.lv/dati/lv/dataset/jras-telpiskais-plnojums-2019-jtp-normatvaj-reguljum-noteiktie-jras-izmantoanas-nosacjumi-msp0239
Informācija par dzeramā ūdens kvalitāti;Dzeramā ūdens kvalitātes monitoringa dati (https://geolatvija.lv/geo/p/266);ĢEOLatvija.lv;Cits;WMS, ;62 skatījumi;dzeramais, ūdens, ;https://data.gov.lv/dati/lv/dataset/informcija-par-dzeram-dens-kvalitti75
Informācija par peldvietu ūdens kvalitāti;Peldvietu ūdens kvalitātes monitoringa dati (https://geolatvija.lv/geo/p/264);ĢEOLatvija.lv;Cits;WMS, ;39 skatījumi;peldūdens, ;https://data.gov.lv/dati/lv/dataset/informcija-par-peldvietu-dens-kvalitti75
Zemes kvalitatīvā vērtība (lejupielādes datne);Ģeotelpiskā informācija par lauksaimniecībā izmantojamo zemju augsnēm Latvijā, kas kartētas laika periodā no 1960. līdz 1991. g. vairākās kārtās dažādos laika posmos, izmantojot dažādas augšņu klasifikācijas mērogā 1:10 000. Informācija iegūta, digitalizējot Latvijā pieejamās vēsturiskās augšņu kartes. Atbildīgais par karšu uzturēšanu: Zemkopības ministrija. (https://geolatvija.lv/geo/p/318);ĢEOLatvija.lv;Cits;;55 skatījumi;LKS 1992 Latvia TM, augsnes, karte, nenoteikts, ;https://data.gov.lv/dati/lv/dataset/zemes-kvalitatv-vrtba-lejupieldes-datne82
Jūras telpiskais plānojums 2019 (JTP): Jūras plānojumā noteiktie jūras izmantošanas nosacījumi (MSP01);(https://geolatvija.lv/geo/p/290);ĢEOLatvija.lv;Cits;WMS, ;52 skatījumi;jūra, ;https://data.gov.lv/dati/lv/dataset/jras-telpiskais-plnojums-2019-jtp-jras-plnojum-noteiktie-jras-izmantoanas-nosacjumi-msp0139
Jūras telpiskais plānojums 2019 (JTP): Esošā situācija jūras telpas izmantošanā (MSP03);(https://geolatvija.lv/geo/p/292);ĢEOLatvija.lv;Cits;WMS, ;44 skatījumi;jūra, ;https://data.gov.lv/dati/lv/dataset/jras-telpiskais-plnojums-2019-jtp-eso-situcija-jras-telpas-izmantoan-msp0339
Jūras telpiskais plānojums (JTP) : Komerciāli nozīmīgo zivju sugu nozveja atklātā jūrā;(https://geolatvija.lv/geo/p/284);ĢEOLatvija.lv;Cits;WMS, ;30 skatījumi;jūra, ;https://data.gov.lv/dati/lv/dataset/jras-telpiskais-plnojums-jtp-komercili-nozmgo-zivju-sugu-nozveja-atklt-jr75
Augsnes dziļrakumi (lejupielādes datne);"Ģeotelpiskā informācija par lauksaimniecībā izmantojamo zemju augsnēm Latvijā, kas kartētas laika periodā no 1960. līdz 1991. g. vairākās kārtās dažādos laika posmos, izmantojot dažādas augšņu klasifikācijas mērogā 1:10 000. Informācija iegūta, digitalizējot Latvijā pieejamās vēsturiskās augšņu kartes. Atbildīgais par karšu uzturēšanu: Zemkopības ministrija.
 (https://geolatvija.lv/geo/p/319)";ĢEOLatvija.lv;Cits;;36 skatījumi;LKS 1992 Latvia TM, augsnes, karte, nenoteikts, ;https://data.gov.lv/dati/lv/dataset/augsnes-dzirakumi-lejupieldes-datne82
Augsnes laukumi (lejupielādes datne);"Ģeotelpiskā informācija par lauksaimniecībā izmantojamo zemju augsnēm Latvijā, kas kartētas laika periodā no 1960. līdz 1991. g. vairākās kārtās dažādos laika posmos, izmantojot dažādas augšņu klasifikācijas mērogā 1:10 000. Informācija iegūta, digitalizējot Latvijā pieejamās vēsturiskās augšņu kartes. Atbildīgais par karšu uzturēšanu: Zemkopības ministrija. 
 (https://geolatvija.lv/geo/p/317)";ĢEOLatvija.lv;Cits;;71 skatījumi;LKS 1992 Latvia TM, augsnes, karte, nenoteikts, ;https://data.gov.lv/dati/lv/dataset/augsnes-laukumi-lejupieldes-datne82
Jūras telpiskais plānojums (JTP) : Jūras gultnes nogulumi;(https://geolatvija.lv/geo/p/283);ĢEOLatvija.lv;Cits;WMS, ;26 skatījumi;jūra, ;https://data.gov.lv/dati/lv/dataset/jras-telpiskais-plnojums-jtp-jras-gultnes-nogulumi75
Rīgas pašvaldības Daudzbērnu ģimeņu reģistra statistika - ģimeņu skaits;"Datu kopa, kurā reizi mēnesī tiek attēlots Rīgas pilsētas pašvaldības Daudzbērnu ģimeņu reģistra statistika - pieteikušos ģimeņu skaits, ģimenes sastāvs, pieteikšanās reģistram e-pakalpojuma lietošanas pazīme. Daudzbērnu ģimenes reģistrējas šajā reģistrā, lai saņemtu pašvaldības pakalpojumu atlaides.
id – ģimenes ieraksta identifikators
period_from – statusa periods no
period_till – statusa periods līdz
pers_number - personu skaits ģimenē uz mēneša pēdējo datumu
childr_number - tai skaitā, bērnu skaits ģimenē uz mēneša pēdējo datumu
electr_manual - pazīme, vai ģimene statusam pieteikusies, izmantojot e-pakalpojumu (1) vai klātienē pašvaldības iestādē (2)";Rīgas dome;Iedzīvotāji un sabiedrība, ;OData, ;464 skatījumi;Rīgas pašvaldība, atlaides, daudzbērnu ģimenes, ;https://data.gov.lv/dati/lv/dataset/rigas-pasvaldibas-daudzbernu-gimenu-registra-statistika
Licencētās makšķerēšanas ūdenstilpes;"Datu kopa par ūdenstilpēm*, kurās ieviesta licencētā makšķerēšana, lai nodrošinātu bioloģiskās daudzveidības aizsardzību un racionāli izmantotu vērtīgo zivju krājumus ūdeņos, kuros zivju ieguvei noteikts nozvejas vai zvejas rīku limits. Datus iespējams izmantot, lai analizētu tendences par licencētās makšķerēšanas intensitāti Latvijas novados.
*Dati pieejami tikai par tām licencētajām makšķerēšanas ūdenstilpēm, kuras piedāvā elektronisku makšķerēšanas licenču iegādi portālā www.epakalpojumi.lv";SIA ZZ Dats;Cits;OData, ;235 skatījumi;makšķerēšana, ūdenstilpes, ;https://data.gov.lv/dati/lv/dataset/licencetas-makskeresanas-udenstilpes
Banku konti NĪN samaksai;Datu kopa par pilsētu un novadu pašvaldību banku kontiem nekustamā īpašuma nodokļa samaksai. Informācija ietver pašvaldību reģistrācijas numurus, SWIFT kodus un IBAN konta numurus nodokļa samaksai.;SIA ZZ Dats;Cits;OData, ;141 skatījumi;NĪN, bankas konts, nodoklis, ;https://data.gov.lv/dati/lv/dataset/banku-konti-nin-samaksai
Laulības;"Datu kopa, kurā reizi diennaktī no pašvaldību datu bāzēs uzkrātajiem datiem tiek atjaunota informācija par noslēgto laulību skaitu, laulību reģistrācijas iestādi, laulāto vecumu, kā arī to, kura laulība pēc skaita tā ir laulātajam. Iespējams veidot statistikas pārskatus par vecumu, kurā persona stājas 1. laulībā; personu skaitu, kuras stājušās laulībā atkārtoti; laulību skaitu gadu un mēnešu griezumā u.c
Apkopotie datu lauki:
id – Ieraksta identifikators;
reg_place – Laulību reģistrācijas iestāde;
merr_year – Ieraksta izveides gads;
merr_month – Ieraksta izveides mēnesis;
merr_place – Laulību noslēgšanas iestāde;
husb_age – Vīra vecums (pilni gadi);
husb_merr_count – Vīra laulība pēc skaita;
wife_age – Sievas vecums (pilni gadi);
wife_merr_count – Sievas laulība pēc skaita;
district_id –Datu piederības rajons/iecirknis.
Pašvaldību atšifrējumu iespējams izgūt no datu kopas ""Pašvaldības"".";SIA ZZ Dats;Cits;OData, ;120 skatījumi;kāzas, laulājas, laulības, precas, ;https://data.gov.lv/dati/lv/dataset/laulibas
Pašvaldības;"Latvijas pašvaldību saraksts, kas tiek izmantots ZZ Dats datu kopās.
Apkopotie datu lauki:
id – Ieraksta identifikators;
district_atvk – Pašvaldības ATVK kods;
district_name – Pašvaldības nosaukums.";SIA ZZ Dats;Cits;OData, ;136 skatījumi;Pašvaldības, Pašvaldību uzskaitī..., ;https://data.gov.lv/dati/lv/dataset/pasvaldibas
Jaundzimušie;"Datu kopa, kurā reizi diennaktī no pašvaldību datu bāzēs uzkrātajiem datiem tiek atjaunota informācija no dzimšanas reģistriem: jaundzimušā personvārds vai vārdi, dzimums, dzimšanas reģistrācijas iestāde un ieraksta izveides datums. Iespējams veidot statistikas pārskatus par personvārdu izmantojumu; dzimtsarakstu iestādēs reģistrēto dzimušo personu skaitu gadu, mēnešu un dienu griezumā u.c.
Apkopotie datu lauki:
id – Ieraksta identifikators;
reg_place - Dzimšanas reģistrācijas iestāde;
first_name – Bērna vārds;
other_names – Bērna citi vārdi;
birth_date – Bērna nepilns dzimšanas datums (gads, mēnesis);
sex – Bērna dzimums (0 - vīrietis, 1 - sieviete);
district_id – Datu piederības rajons/iecirknis;
active_date – Ieraksta izveides datums.
Pašvaldību atšifrējumu iespējams izgūt no datu kopas ""Pašvaldības"".";SIA ZZ Dats;Cits;OData, ;143 skatījumi;Jaundzimušie, ;https://data.gov.lv/dati/lv/dataset/jaundzimusie
Deklarēto personu skaits;"Datu kopa, kurā reizi diennaktī no pašvaldību datu bāzēs uzkrātajiem datiem tiek atjaunota informācija par Republikas nozīmes pilsētās un novadu pašvaldībās deklarēto personu skaitu. Datus iespējams izmantot, lai analizētu deklarēšanās tendences novadu, gadu, mēnešu un dienu griezumā.
Apkopotie datu lauki:
id – Ieraksta identifikators;
year – Ieraksta izveides gads;
month – Ieraksta izveides mēnesis;
day – Ieraksta izveides diena;
value – Deklarēto personu skaits;
district_id – Pilsētas id;
district_name – Pilsētas nosaukums.
Pašvaldību atšifrējumu iespējams izgūt no datu kopas ""Pašvaldības""";SIA ZZ Dats;Cits;OData, ;137 skatījumi;Deklarētās personas, Pašvaldība, ;https://data.gov.lv/dati/lv/dataset/deklareto-personu-skaits
Eiropas Savienības struktūrfondu un Kohēzijas fonda 2007. – 2013. gada plānošanas perioda projekti;Eiropas Savienības struktūrfondu un Kohēzijas fonda 2007. – 2013. gada plānošanas perioda projekti, par kuru īstenošanu noslēgts līgums vai vienošanās (pabeigtie projekti vai projekti ieviešanas stadijā). Dati sniedz informāciju par projekta klasifikāciju, finansējuma apjomu un sadalījumu starp finansējuma avotiem.;Finanšu ministrija;Valsts pārvalde, ;XLS, ;144 skatījumi;ES fondi, Eiropas Savienība, projekti, ;https://data.gov.lv/dati/lv/dataset/eiropas-savienibas-strukturfondu-un-kohezijas-fonda-2007-2013-gada-planosanas-perioda-projekti
Eiropas Savienības struktūrfondu un Kohēzijas fonda 2014. – 2020. gada plānošanas perioda projekti;Eiropas Savienības struktūrfondu un Kohēzijas fonda 2014. – 2020. gada plānošanas perioda projekti, par kuru īstenošanu noslēgts līgums vai vienošanās (pabeigtie projekti vai projekti ieviešanas stadijā). Dati sniedz informāciju par projekta īstenotāju, finansējuma apjomu un sadalījumu starp finansējuma avotiem, kā arī ir pieejams projektā veicamo darbību kopsavilkums.;Finanšu ministrija;Valsts pārvalde, ;XLS, ;184 skatījumi;ES fondi, Eiropas Savienība, projekti, ;https://data.gov.lv/dati/lv/dataset/eiropas-savienibas-strukturfondu-un-kohezijas-fonda-2014-2020-gada-planosanas-perioda-projekti
Publiskie valodu korpusi;Valodu tehnoloģiju platformas Hugo.lv valodas resursu pieejamības nodrošināšanai, izveidots OData serviss, kas realizēts, izmantojot atvērto datu protokolu (Open Data Protocol). Serviss sniedz piekļuvi publiskotajiem valodas resursiem, to metadatiem.;Kultūras informācijas sistēmu centrs;Zinātne un tehnoloģijas, ;JSON, ;349 skatījumi;korpusi, valoda, ;https://data.gov.lv/dati/lv/dataset/publiskie-valodu-korpusi
Ambulatoro pakalpojumu gaidīšanas rindas;Informācija par gaidīšanas rindu garumiem valsts apmaksātu ambulatoro veselības aprūpes pakalpojumu saņemšanai - speciālistu konsultāciju, izmeklējumu, dienas stacionāra pakalpojumu un medicīniskās rehabilitācijas. Šo informāciju ārstniecības iestādes apkopo un sniedz Nacionālajam veselības dienestam reizi mēnesī.;Nacionālais veselības dienests;Veselība, ;XLSX, ;323 skatījumi;gaidīšanas laiki, nvd, rindas, ;https://data.gov.lv/dati/lv/dataset/ambulatoro-pakalpojumu-gaidisanas-rindas
Meža zemju platību izmaiņas pa novadiem;Valsts meža dienesta Meža valsts reģistra dati par atmežotajām, ieaudzētajām un inventarizētajām meža platībām sadalījuma pa novadiem;Valsts meža dienests;Zemkopība, pārtika un mežsaimniecība, ;CSV, XLSX, ;233 skatījumi;atmežošana, ieaudzēšana, meža inventarizācija, mežs, mežsaimniecība, ;https://data.gov.lv/dati/lv/dataset/vmd
Dzelzceļa stacijas un pieturas punkti;Dzelzceļa staciju un pieturas punktu atrašanās vietu koordinātes;AS Pasažieru vilciens;Transports, ;XLSX, ;929 skatījumi;Staciju koodinātes, ;https://data.gov.lv/dati/lv/dataset/dezlcela-stacijas-un-pieturas-punkti
Kultūras centru statistika;Kultūras centru ikgadējā statistika, kas tiek iesniegta Latvijas kultūras datu portālā https://www.kulturasdati.lv. Tiek atrādīti tikai sistēmā apstiprinātie dati.;Kultūras informācijas sistēmu centrs;Kultūra, ;CSV, ;456 skatījumi;kultūras centri, statistika, ;https://data.gov.lv/dati/lv/dataset/kulturas-centru-statistika
Muzeju statistika;Muzeju ikgadējā statistika, kas tiek iesniegta Latvijas kultūras datu portālā https://www.kulturasdati.lv. Tiek atrādīti tikai sistēmā apstiprinātie dati.;Kultūras informācijas sistēmu centrs;Kultūra, ;CSV, ;1620 skatījumi;muzeji, statistika, ;https://data.gov.lv/dati/lv/dataset/muzeju-statistika
Arhīvu statistika;Arhīvu ikgadējā statistika, kas tiek iesniegta Latvijas kultūras datu portālā https://www.kulturasdati.lv. Tiek atrādīti tikai sistēmā apstiprinātie dati.;Kultūras informācijas sistēmu centrs;Kultūra, ;CSV, ;618 skatījumi;arhīvi, statistika, ;https://data.gov.lv/dati/lv/dataset/arhivu-statistika
Kuldīgas tūrisma attīstības centra apmeklējumi;Kuldīgas tūrisma attīstības centra apmeklējuma dati. Dati pieejami pēc pieprasījuma par dienām un dalījumu pa stundām.;Kuldīgas novada pašvaldība;Ekonomika un uzņēmējdarbība, Iedzīvotāji un sabiedrība, Kultūra, Reģioni un pašvaldības, ;XML, JSON, ;368 skatījumi;apmeklējumi, apmeklētāji, klienti, statistika, tūristi, ;https://data.gov.lv/dati/lv/dataset/kuldigas-tac-static
Medicīnisko manipulāciju tarifu saraksts (sadalījumā pa elementiem);Manipulāciju sarakstā iekļauta informācija par no valsts līdzekļiem apmaksājamām manipulācijām un to apmaksas nosacījumiem, tajā skaitā norādīts konkrētās manipulācijas tarifs un pacienta līdzmaksājuma apmērs;Nacionālais veselības dienests;Veselība, ;XLSX, CSV, ;4868 skatījumi;manipulācjias, medicīna, nvd, slimnīcas, tarifi, ārsti, ;https://data.gov.lv/dati/lv/dataset/medicinisko-manipulaciju-tarifu-saraksts-sadalijuma-pa-elementiem
Lauku atbalsta dienesta Lauku reģistra dati par 2018. gadu;"Apkopota informācija par lauku bloku platībām, VPM pieteiktajām platībām, VPM nepieteiktajām platībām un neapstrādātajām LIZ platībām, novadu un pagastu iedalījumos (ha). 
Informācija sagatavota par 2018. gadu.";Lauku atbalsta dienests;Zemkopība, pārtika un mežsaimniecība, ;CSV, ;198 skatījumi;lauksaimniecība, ;https://data.gov.lv/dati/lv/dataset/lauku-atbalsta-dienesta-lauku-registra-dati-par-2018-gadu
Digitālo aģentu saraksts;"Digitālie aģenti ir vēstneši, kuri ne tikai paši apguvuši un izmanto valsts iestāžu e-risinājumus dažādu dzīves situāciju risināšanā, bet arī palīdz iedvesmot to izmantošanā citus.
Digitālais aģents vieglā un saprotamā veidā nodod informāciju sabiedrībai, tai skaitā konsultē par drošu darbošanos internetā, iedrošina un palīdz uzsākt valsts e-pakalpojumu lietošanu, lai persona aktuālo dzīves situāciju varētu atrisināt digitālā veidā, piemēram, ar bērna gaidīšanu un piedzimšanu saistītie jautājumi, dzīvesvietas maiņa, rīcība saslimšanas gadījumā u.c.
Tāpat digitālie aģenti sniedz atgriezenisko saikni e-pārvaldei, kā uzlabot valsts saziņu ar iedzīvotājiem.
Datnē pieejama informācija par vietām (pilsēta, adrese, iestāde), kurā var meklēt sev tuvāko digitālo aģentu.
Vizuāli attēlota karte pieejama: https://mana.latvija.lv/digitalo-agentu-karte/";Vides aizsardzības un reģionālās attīstības ministrija;Reģioni un pašvaldības, ;CSV, JSON, ;423 skatījumi;;https://data.gov.lv/dati/lv/dataset/digitalie-agenti
